Postal Code,Municipality name (German),Municipality name (Dutch),Municipality name (French)
9520,,Sint-Lievens-Houtem,
7080,,,Frameries
7743,,,Pecq
7180,,,Seneffe
7011,,,Mons
6590,,,Momignies
2980,,Zoersel,
2960,,Brecht,
2222,,Heist-op-den-Berg,
2580,,Putte,
5336,,,Assesse
3732,,Hoeselt,
6706,,,Arlon
4784,Sankt Vith,,Saint-Vith
4920,,,Aywaille
4042,,,Herstal
8900,,Ieper,
4340,,,Awans
2018,,Antwerpen,
5360,,,Hamois
8920,,Langemark-Poelkapelle,
6823,,,Florenville
1500,,Halle,
9040,,Gent,
7050,,,Jurbise
1140,,Evere,Evere
2820,,Bonheiden,
3730,,Hoeselt,
8420,,De Haan,
8581,,Avelgem,
6800,,,Libramont-Chevigny
6922,,,Wellin
1740,,Ternat,
3202,,Aarschot,
3060,,Bertem,
9220,,Hamme,
9772,,Kruisem,
4837,,,Baelen
7540,,,Tournai
7618,,,Rumes
6000,,,Charleroi
7380,,,Quiévrain
1340,,,Ottignies-Louvain-la-Neuve
2570,,Duffel,
2830,,Willebroek,
2450,,Meerhout,
2560,,Nijlen,
3680,,Maaseik,
8940,,Wervik,
6637,,,Fauvillers
6680,,,Sainte-Ode
5544,,,Hastière
3806,,Sint-Truiden,
4520,,,Wanze
1332,,,Rixensart
2322,,Minderhout,
2243,,Zandhoven,
7750,,,Mont-de-l'Enclus
2323,,Hoogstraten,
3600,,Genk,
8572,,Anzegem,
6810,,,Chiny
6832,,,Bouillon
9450,,Haaltert,
5370,,,Havelange
5032,,,Gembloux
8720,,Dentergem,
8730,,Beernem,
9070,,Destelbergen,
6511,,,Beaumont
3620,,Lanaken,
8850,,Ardooie,
6221,,,Fleurus
7942,,,Brugelette
1120,,Brussel,Bruxelles
1150,,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
1331,,,Rixensart
8840,,Staden,
6700,,,Arlon
3040,,Huldenberg,
7040,,,Quévy
7804,,,Ath
4880,,,Aubel
4831,,,Limbourg
5571,,,Beauraing
8691,,Alveringem,
6870,,,Saint-Hubert
2547,,Lint,
3272,,Scherpenheuvel-Zichem,
9112,,Sint-Niklaas,
9031,,Gent,
9308,,Aalst,
4351,,,Remicourt
6534,,,Thuin
7860,,,Lessines
6531,,,Thuin
9506,,Geraardsbergen,
4420,,,Saint-Nicolas
1473,,,Genappe
2280,,Grobbendonk,
4287,,,Lincent
5372,,,Havelange
8433,,Middelkerke,
8810,,Lichtervelde,
5644,,,Mettet
3510,,Hasselt,
8908,,Ieper,
6820,,,Florenville
1830,,Machelen,
4120,,,Neupré
4651,,,Herve
4261,,,Braives
7110,,,La Louvière
